"BG_ID_10","TotalPop","PopDen","SexRatio","AgeU18","Age1834","Age3564","AgeO65","White","Black","Asian","Hispanic","TwoOrMore","EthHet","MedHouseIncome","PubAssist","FamPovPer","UnempRate","TotalHouseH","FamHousePer","FemHeadPer","LessThanHS","HSGrad","SomeColl","Bach","Master","Prof","Doc","CommuteLess10","Commute1030","Commute3060","Commute6090","CommuteOver90","ByCar","ByPubTrans","ByBike","ByWalk","TotalHouseUnits","VacantUnitPer","RentersPer","HomeOwnPer","MedGrossRent","MedHomeVal","MedYrBuiltRaw","MedYrBuilt","MedYrMovedInraw","MedYrRentMovedIn","MedYrOwnMovedIn"
"250214031005",873,1731.70109665902,1.18796992481203,0.308132875143184,0.156930126002291,0.438717067583047,0.266895761741123,0.903780068728522,0.0011454753722795,0.0939289805269187,0.0011454753722795,0,0.174356309758584,106875,0,0.0398406374501992,0.0463821892393321,362,0.693370165745856,0.0398406374501992,0,0.0441640378548896,0.22397476340694,0.312302839116719,0.173501577287066,0.194006309148265,0.0520504731861199,0.0887096774193548,0.465725806451613,0.288306451612903,0.0866935483870968,0.0705645161290323,0.785992217898833,0.0330739299610895,0.0836575875486381,0.0272373540856031,441,0.179138321995465,0.104972375690608,0.895027624309392,1324,642300,1956,"1950 to 1959",2000,2011,1999
"250214031006",1022,5657.86239341999,1.11594202898551,0.483365949119374,0.0792563600782779,0.473581213307241,0.170254403131115,0.847358121330724,0.0205479452054795,0.0342465753424658,0.0596868884540117,0.038160469667319,0.27682664358669,132188,0,0.0766423357664234,0.13677130044843,347,0.789625360230548,0,0,0.0169491525423729,0.11402157164869,0.195685670261941,0.469953775038521,0.178736517719569,0.024653312788906,0.081570996978852,0.371601208459215,0.546827794561934,0,0,0.797402597402597,0.0623376623376623,0,0,347,0,0,1,NA,824500,1939,"Prior to 1940",1996,NA,1996
"250214031007",1006,7482.23875025127,1.19650655021834,0.606361829025845,0.0536779324055666,0.495029821073559,0.0546719681908549,0.915506958250497,0.0218687872763419,0.0218687872763419,0,0.0407554671968191,0.160890521681047,203077,0,0,0,286,0.912587412587413,0,0,0.117747440273038,0.0767918088737201,0.424914675767918,0.284982935153584,0.0563139931740614,0.0392491467576792,0.0377358490566038,0.161725067385445,0.671159029649596,0.129380053908356,0,0.856459330143541,0.0311004784688995,0,0,286,0,0,1,NA,834100,1956,"1950 to 1959",2002,NA,2002
"250214033001",1252,4647.27126805778,1.04909983633388,0.376198083067093,0.135782747603834,0.420926517571885,0.150958466453674,0.975239616613419,0.00798722044728434,0.00798722044728434,0,0.00878594249201278,0.0487800988067654,117132,0,0,0.018018018018018,401,0.70573566084788,0.0530035335689046,0.0338164251207729,0.193236714975845,0.130434782608696,0.346618357487923,0.217391304347826,0.0579710144927536,0.0205314009661836,0.136268343815514,0.329140461215933,0.475890985324948,0.0587002096436059,0,0.700917431192661,0.143119266055046,0,0.0311926605504587,401,0,0.169576059850374,0.830423940149626,1682,735600,1939,"Prior to 1940",1998,2011,1996
"250214033002",1016,3306.03265778924,0.736752136752137,0.371062992125984,0.181102362204724,0.459645669291339,0.133858267716535,0.883858267716535,0,0.0570866141732283,0.031496062992126,0.0275590551181102,0.214543679087358,162583,0.0205278592375367,0,0.049618320610687,341,0.838709677419355,0,0.0105263157894737,0,0.075187969924812,0.410526315789474,0.36390977443609,0.0796992481203008,0.0601503759398496,0.10062893081761,0.266247379454927,0.488469601677149,0.144654088050314,0,0.756646216768916,0.192229038854806,0,0.0265848670756646,367,0.0708446866485014,0.0263929618768328,0.973607038123167,NA,710200,1949,"1940 to 1949",2000,NA,1999
"250214033003",1899,909.071249866922,0.893320039880359,0.4913112164297,0.102159031068984,0.459189046866772,0.119010005265929,0.908899420747762,0.0258030542390732,0.0294892048446551,0.000526592943654555,0.0352817272248552,0.17236615485382,188611,0.0132890365448505,0.0163265306122449,0.00589622641509434,602,0.813953488372093,0.0469387755102041,0.0183246073298429,0.0139616055846422,0.134380453752181,0.424083769633508,0.242582897033159,0.113438045375218,0.0532286212914485,0.0996168582375479,0.371647509578544,0.445721583652618,0.0830140485312899,0,0.815980629539952,0.116222760290557,0.00726392251815981,0.00847457627118644,658,0.0851063829787234,0.0348837209302326,0.965116279069767,NA,1133900,1966,"1960 to 1969",1999,NA,1998
"250214034001",1697,711.933321822052,0.98711943793911,0.330583382439599,0.157925751325869,0.49263406010607,0.150854449027696,0.780200353565115,0.0111962286387743,0.149675898644667,0.0347672362993518,0.0241602828520919,0.367550417406155,250001,0,0,0.0516273849607183,508,1,0.0767716535433071,0,0.0119485294117647,0.153492647058824,0.462316176470588,0.184742647058824,0.121323529411765,0.0661764705882353,0.0493991989319092,0.347129506008011,0.449933244325768,0.153538050734312,0,0.903266331658292,0.0376884422110553,0,0,508,0,0,1,NA,1095300,1979,"1970 to 1979",2004,NA,2004
"250214034002",1523,5806.40555356018,1.24631268436578,0.464871963230466,0.0663164806303349,0.495732107682206,0.130006565988181,0.980302035456336,0.00131319763624425,0.0183847669074196,0,0,0.0386681951378921,173750,0,0,0.0356687898089172,468,0.908119658119658,0.0423529411764706,0.039177277179236,0.0969637610186092,0.0881488736532811,0.285014691478942,0.321253672869736,0.102840352595495,0.0666013712047013,0.0508940852819807,0.372764786795048,0.486932599724897,0.0866574965612105,0.00275103163686382,0.858652575957728,0.0739762219286658,0,0.0277410832232497,468,0,0,1,NA,734000,1962,"1960 to 1969",2003,NA,2003
"250214034003",1260,4711.42962740523,1.09302325581395,0.434920634920635,0.108730158730159,0.441269841269841,0.23015873015873,0.583333333333333,0.0166666666666667,0.268253968253968,0.05,0.0817460317460317,0.584984252960443,68558,0.115308151093439,0.143312101910828,0.12639405204461,503,0.624254473161034,0.187898089171975,0.021505376344086,0.0657108721624851,0.216248506571087,0.289127837514934,0.225806451612903,0.0752688172043011,0.106332138590203,0,0.495073891625616,0.379310344827586,0.125615763546798,0,0.653191489361702,0.185106382978723,0,0,528,0.0473484848484848,0.542743538767396,0.457256461232604,376,657100,1960,"1960 to 1969",2005,2006,2002
"250214034004",667,3951.84664127463,0.741514360313316,0.278860569715142,0.133433283358321,0.461769115442279,0.134932533733133,0.956521739130435,0,0,0.0434782608695652,0,0.0831758034026464,129138,0,0,0.0327868852459016,268,0.638059701492537,0,0,0.100877192982456,0.179824561403509,0.24780701754386,0.214912280701754,0.0657894736842105,0.190789473684211,0.051948051948052,0.301948051948052,0.448051948051948,0.142857142857143,0.0551948051948052,0.661764705882353,0.244117647058824,0,0,268,0,0,1,NA,665800,1958,"1950 to 1959",2000,NA,2000
